pae_interaction_scores,total_score,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,yhh_planarity,description
13.0,119.113,1.565,-27.07,-2.169,-27.07,-2.169,1466.583,2094.967,731.955,14.0,0.0,-299.429,313.414,-75.978,1.159,39.986,90.562,416.489,0.181,-3.287,0.0,0.0,-26.872,4.0,-12.865,88.0,72.0,15.259,-13.744,0.631,-1.187,0.469,-7.195,52.004,0.692,-0.719,-30.187,-1.842,-55.264,0.0,insulin_ep2__258_dldesign_0_cycle0_1
6.0,108.277,1.555,-27.19,-2.181,-27.19,-2.181,1458.956,2018.527,730.954,14.0,0.0,-299.498,312.249,-76.207,1.156,39.971,89.547,412.591,0.171,-3.296,0.0,0.0,-27.397,4.0,-9.624,65.0,58.0,14.146,-6.869,0.574,-0.464,0.061,4.485,25.359,0.566,-0.143,-5.285,-1.03,-21.639,0.0,insulin_ep3__621_dldesign_0_cycle0
6.0,106.563,1.544,-27.2,-2.188,-27.2,-2.188,1446.929,2008.117,724.707,13.0,0.0,-300.467,308.735,-76.629,1.15,39.957,85.603,411.842,0.17,-3.349,0.0,0.0,-27.427,2.0,-11.741,84.0,54.0,11.05,-12.079,0.583,-0.214,0.116,0.548,21.343,0.593,-0.072,-2.36,-0.437,-9.171,0.0,insulin_ep3__345_dldesign_0_cycle0
7.0,106.414,1.537,-27.267,-2.214,-27.267,-2.214,1420.895,2005.301,719.376,13.0,0.0,-303.182,306.669,-76.651,1.146,39.783,85.19,411.297,0.17,-3.367,0.0,0.0,-27.58,1.0,-11.886,77.0,54.0,13.897,-8.575,0.521,-0.202,0.0,3.945,22.217,0.721,0.265,8.732,-0.935,-19.645,0.0,insulin_ep3__244_dldesign_0_cycle0
8.0,105.752,1.405,-27.709,-2.237,-27.709,-2.237,1381.797,1981.773,714.364,13.0,0.0,-303.368,305.608,-76.853,1.138,39.269,84.675,410.51,0.167,-3.369,0.0,-0.06,-27.748,4.0,-12.06,63.0,51.0,9.218,-4.337,0.538,-0.079,0.072,3.382,12.659,0.519,0.472,14.624,-0.934,-18.676,0.0,insulin_ep3__655_dldesign_0_cycle0
5.0,100.601,1.378,-27.953,-2.258,-27.953,-2.258,1297.518,1974.047,713.909,13.0,0.0,-303.652,305.269,-77.092,1.13,38.909,80.26,410.132,0.167,-3.456,0.0,-0.311,-27.951,1.0,-6.216,64.0,50.0,9.354,-4.573,0.737,-1.189,0.371,7.426,52.253,0.763,-1.64,-47.555,-0.566,-11.876,0.0,insulin_ep3__754_dldesign_0_cycle0
14.0,98.992,1.337,-28.609,-2.272,-28.609,-2.272,1287.573,1929.272,690.123,13.0,0.0,-304.606,304.301,-78.286,1.117,38.252,80.107,407.206,0.165,-3.511,0.0,-0.327,-28.01,10.0,-12.116,103.0,86.0,25.077,-14.9,0.601,-0.59,0.463,10.479,9.134,0.71,0.096,5.376,-1.87,-56.105,0.0,insulin_ep2__115_dldesign_0_cycle0
6.0,98.606,1.327,-29.171,-2.277,-29.171,-2.277,1277.172,1928.043,688.504,13.0,0.0,-305.437,303.589,-78.334,1.104,37.696,79.701,406.057,0.16,-3.542,0.0,-0.354,-28.131,3.0,-9.773,66.0,50.0,10.504,-7.154,0.467,-0.396,0.105,7.709,16.161,0.592,0.178,5.337,-1.257,-25.148,0.0,insulin_ep3__965_dldesign_0_cycle0
6.0,98.33,1.274,-29.68,-2.306,-29.68,-2.306,1276.758,1907.273,669.356,13.0,0.0,-306.501,302.85,-78.73,1.1,37.555,78.247,405.978,0.16,-3.571,0.0,-0.405,-28.133,1.0,-7.022,68.0,49.0,9.777,-7.49,0.612,-0.656,0.074,-3.759,47.022,0.676,-0.856,-23.972,-0.388,-8.155,0.0,insulin_ep3__437_dldesign_0_cycle0
10.0,98.205,1.269,-29.764,-2.333,-29.764,-2.333,1268.902,1901.558,665.11,13.0,0.0,-307.776,302.778,-78.846,1.097,37.493,77.757,405.829,0.158,-3.729,0.0,-0.521,-28.239,3.0,-10.598,73.0,55.0,12.858,-7.605,0.644,-1.233,0.0,-2.938,36.946,0.681,-1.424,-49.834,-0.899,-17.982,0.0,insulin_ep3__864_dldesign_0_cycle0
7.0,96.821,1.256,-29.868,-2.364,-29.868,-2.364,1247.852,1893.621,661.566,13.0,0.0,-308.256,299.56,-78.912,1.096,37.319,76.265,402.485,0.157,-3.751,0.0,-0.574,-28.274,3.0,-11.764,85.0,57.0,15.956,-6.825,0.572,0.711,0.0,16.875,6.901,0.74,1.229,45.46,-0.245,-4.904,0.0,insulin_ep3__901_dldesign_0_cycle0_1
15.0,95.747,1.179,-29.931,-2.365,-29.931,-2.365,1242.159,1889.568,658.546,12.0,0.0,-308.335,297.767,-79.32,1.093,37.214,74.607,402.153,0.156,-3.761,0.0,-0.577,-28.306,4.0,-11.766,79.0,52.0,15.334,-11.027,0.642,-1.124,0.098,3.525,38.66,0.653,-0.408,-9.803,-1.737,-48.623,0.0,insulin_ep1__355_dldesign_0_cycle0
5.0,94.849,1.178,-30.05,-2.373,-30.05,-2.373,1240.172,1865.61,649.734,12.0,0.0,-308.337,296.755,-79.349,1.084,37.171,72.918,401.745,0.153,-3.766,0.0,-0.633,-28.366,3.0,-9.424,76.0,57.0,8.408,-7.895,0.531,-0.806,0.137,-7.485,15.238,0.825,-0.475,-17.084,-1.374,-28.851,0.0,insulin_ep3__636_dldesign_0_cycle0_1
4.0,94.347,1.165,-30.149,-2.377,-30.149,-2.377,1220.844,1818.064,646.242,12.0,0.0,-308.484,293.222,-80.067,1.08,36.958,72.648,401.621,0.152,-3.821,0.0,-0.645,-28.471,3.0,-8.568,65.0,54.0,10.844,-5.867,0.523,-0.351,0.076,2.182,11.449,0.753,0.142,4.819,-1.189,-23.785,0.0,insulin_ep3__396_dldesign_0_cycle0_1
14.0,91.107,1.144,-30.445,-2.4,-30.445,-2.4,1214.805,1800.022,631.955,12.0,0.0,-308.879,292.629,-80.502,1.075,36.912,72.581,401.6,0.15,-3.863,0.0,-0.672,-28.48,7.0,-10.109,70.0,46.0,12.007,-8.743,0.474,-1.562,0.279,0.626,20.395,0.54,-1.493,-34.344,-1.63,-37.487,0.0,insulin_ep2__141_dldesign_0_cycle0_1
6.0,90.478,1.059,-30.548,-2.432,-30.548,-2.432,1202.029,1775.065,626.865,12.0,0.0,-309.092,289.322,-80.526,1.068,36.758,72.575,401.267,0.149,-3.942,0.0,-0.683,-28.592,1.0,-10.047,63.0,54.0,9.907,-5.837,0.547,-0.787,0.151,0.205,23.258,0.648,-0.611,-20.172,-1.063,-22.327,0.0,insulin_ep3__810_dldesign_0_cycle0
5.0,88.321,1.023,-30.607,-2.449,-30.607,-2.449,1193.355,1773.506,625.872,12.0,0.0,-310.891,287.654,-80.533,1.056,36.721,72.009,398.543,0.148,-3.996,0.0,-0.738,-28.599,6.0,-9.944,71.0,54.0,15.156,-6.688,0.631,-0.941,0.0,-2.18,2.503,0.753,-0.935,-30.861,-0.951,-19.969,0.0,insulin_ep3__542_dldesign_0_cycle0
5.0,87.967,1.013,-30.618,-2.457,-30.618,-2.457,1192.656,1772.432,625.73,12.0,0.0,-311.049,287.497,-80.779,1.041,36.644,71.764,398.263,0.146,-4.057,0.0,-0.777,-28.699,4.0,-10.943,78.0,53.0,16.789,-11.423,0.586,-0.246,0.0,-3.174,12.415,0.643,0.102,3.37,-0.821,-16.428,0.0,insulin_ep3__125_dldesign_0_cycle0_1
6.0,84.194,1.002,-30.759,-2.457,-30.759,-2.457,1182.397,1717.533,617.266,12.0,0.0,-311.496,286.92,-81.126,1.038,36.42,71.708,398.156,0.146,-4.137,0.0,-0.853,-28.71,2.0,-14.619,94.0,50.0,15.419,-7.283,0.573,0.237,0.102,2.0,-4.322,0.711,0.587,17.025,-0.248,-5.198,0.0,insulin_ep3__524_dldesign_0_cycle0_1
12.0,83.346,0.994,-31.051,-2.461,-31.051,-2.461,1179.281,1713.832,616.863,12.0,0.0,-311.851,285.614,-81.374,1.036,36.291,71.366,396.552,0.145,-4.145,0.0,-0.887,-28.752,10.0,-7.476,81.0,66.0,16.364,-15.223,0.654,-1.072,0.269,7.254,28.209,0.751,-0.427,-16.232,-1.947,-54.515,0.0,insulin_ep1__718_dldesign_0_cycle0_1
6.0,82.561,0.981,-31.126,-2.462,-31.126,-2.462,1176.609,1708.545,609.755,12.0,0.0,-312.09,285.132,-81.872,1.035,36.242,71.234,395.3,0.144,-4.167,0.0,-0.908,-28.823,0.0,-9.904,63.0,48.0,8.335,-7.286,0.625,-0.564,0.0,-4.069,23.766,0.723,-0.493,-14.289,-0.672,-12.769,0.0,insulin_ep3__927_dldesign_0_cycle0_1
4.0,81.647,0.95,-31.815,-2.468,-31.815,-2.468,1175.264,1690.235,604.62,12.0,0.0,-312.423,284.581,-81.959,1.029,36.208,70.554,394.832,0.143,-4.205,-0.044,-0.922,-28.877,0.0,-12.021,80.0,52.0,10.161,-9.261,0.619,-0.984,0.0,1.044,39.754,0.68,-0.982,-31.427,-0.986,-19.723,0.0,insulin_ep3__106_dldesign_0_cycle0
7.0,80.337,0.902,-31.825,-2.485,-31.825,-2.485,1173.452,1680.8,603.258,12.0,0.0,-312.775,284.533,-82.042,1.027,36.208,70.438,394.717,0.141,-4.237,-0.132,-0.937,-29.041,0.0,-5.871,66.0,48.0,13.919,-9.182,0.492,-0.476,0.147,-3.393,31.051,0.652,-0.168,-4.714,-0.906,-18.119,0.0,insulin_ep3__930_dldesign_0_cycle0
5.0,78.827,0.9,-31.882,-2.499,-31.882,-2.499,1168.003,1679.396,599.976,11.0,0.0,-313.524,283.88,-82.085,1.026,36.203,70.324,394.597,0.14,-4.296,-0.158,-0.949,-29.051,2.0,-12.168,90.0,55.0,17.593,-7.005,0.632,-1.728,0.113,-7.928,67.821,0.691,-2.169,-75.931,-0.955,-19.109,0.0,insulin_ep3__563_dldesign_0_cycle0
5.0,78.373,0.889,-31.923,-2.5,-31.923,-2.5,1166.716,1674.109,599.638,11.0,0.0,-313.773,282.851,-82.22,1.017,36.144,70.141,394.045,0.139,-4.329,-0.222,-0.964,-29.052,3.0,-15.47,81.0,48.0,12.051,-10.988,0.656,-1.114,0.022,-5.597,24.865,0.726,-1.303,-35.188,-0.871,-18.301,0.0,insulin_ep3__886_dldesign_0_cycle0_1
6.0,73.786,0.86,-32.066,-2.509,-32.066,-2.509,1164.796,1672.641,590.846,11.0,0.0,-314.433,281.504,-82.312,1.017,35.847,70.134,393.904,0.139,-4.329,-0.242,-1.086,-29.109,2.0,-10.442,88.0,52.0,20.719,-9.808,0.609,-1.24,0.02,-8.001,70.598,0.683,-1.385,-44.331,-1.008,-20.167,0.0,insulin_ep3__52_dldesign_0_cycle0
9.0,72.214,0.846,-32.078,-2.519,-32.078,-2.519,1162.583,1670.958,588.438,11.0,0.0,-314.456,281.027,-82.859,1.015,35.727,69.902,393.306,0.137,-4.41,-0.249,-1.118,-29.131,0.0,-3.01,74.0,48.0,21.009,-3.755,0.534,0.226,0.008,13.677,16.467,0.548,0.321,8.982,0.094,1.887,0.0,insulin_ep3__172_dldesign_0_cycle0
4.0,71.048,0.792,-32.234,-2.522,-32.234,-2.522,1162.085,1668.487,588.154,11.0,0.0,-314.775,279.758,-83.191,1.012,35.603,69.846,392.846,0.137,-4.427,-0.289,-1.145,-29.452,0.0,-10.887,65.0,52.0,10.277,-3.531,0.606,-0.969,0.061,0.353,34.74,0.695,-0.801,-26.449,-1.26,-23.932,0.0,insulin_ep3__944_dldesign_0_cycle0
7.0,68.865,0.776,-32.245,-2.538,-32.245,-2.538,1158.894,1660.566,584.092,11.0,0.0,-314.996,279.757,-83.439,1.011,35.409,69.515,392.621,0.137,-4.482,-0.294,-1.153,-29.454,2.0,-8.858,66.0,53.0,9.98,-8.728,0.489,-0.509,0.0,-2.984,20.772,0.689,-0.153,-5.052,-1.097,-21.933,0.0,insulin_ep3__485_dldesign_0_cycle0_1
6.0,67.616,0.764,-32.32,-2.564,-32.32,-2.564,1157.824,1656.734,583.475,11.0,0.0,-315.339,279.548,-83.536,1.007,35.342,69.039,392.031,0.136,-4.499,-0.314,-1.159,-29.46,1.0,-13.839,64.0,49.0,10.582,-6.46,0.621,-0.49,0.0,-0.178,26.144,0.738,-0.261,-7.563,-0.824,-16.471,0.0,insulin_ep3__789_dldesign_0_cycle0
8.0,66.914,0.761,-32.551,-2.565,-32.551,-2.565,1156.76,1651.687,582.893,11.0,0.0,-316.082,278.783,-83.57,0.997,35.25,67.446,390.806,0.136,-4.556,-0.33,-1.185,-29.474,1.0,-9.647,78.0,62.0,16.382,-9.293,0.541,-1.049,0.0,0.533,-3.059,0.681,-0.9,-36.895,-1.342,-28.173,0.0,insulin_ep3__674_dldesign_0_cycle0
9.0,64.613,0.76,-32.564,-2.565,-32.564,-2.565,1155.305,1637.63,558.371,11.0,0.0,-316.107,278.697,-83.59,0.994,35.21,66.386,390.567,0.135,-4.572,-0.343,-1.235,-29.478,2.0,-12.523,80.0,61.0,20.041,-10.507,0.681,-0.709,0.07,2.912,29.408,0.644,-0.682,-27.954,-0.764,-15.281,0.0,insulin_ep3__760_dldesign_0_cycle0_1
7.0,64.049,0.72,-32.67,-2.569,-32.67,-2.569,1153.751,1631.232,552.212,11.0,0.0,-316.194,278.416,-83.813,0.991,35.041,66.356,389.74,0.135,-4.579,-0.367,-1.268,-29.666,1.0,-9.642,66.0,53.0,9.98,-9.527,0.546,-0.23,0.243,-2.99,13.744,0.561,-0.127,-4.325,-0.415,-7.885,0.0,insulin_ep3__857_dldesign_0_cycle0_1
6.0,60.077,0.707,-32.719,-2.579,-32.719,-2.579,1153.345,1630.164,551.588,11.0,0.0,-316.262,277.831,-84.496,0.989,34.953,66.327,389.351,0.134,-4.6,-0.386,-1.283,-29.695,3.0,-8.692,78.0,56.0,15.879,-9.889,0.617,-0.586,0.0,-8.156,15.548,0.674,-0.379,-13.261,-0.93,-19.537,0.0,insulin_ep3__211_dldesign_0_cycle0
4.0,59.085,0.703,-32.756,-2.587,-32.756,-2.587,1153.03,1625.087,549.161,11.0,0.0,-316.48,274.697,-84.672,0.988,34.837,66.199,388.876,0.134,-4.67,-0.387,-1.31,-29.832,2.0,-12.039,93.0,59.0,14.34,-8.678,0.561,-0.701,0.1,-4.897,9.406,0.748,-0.59,-22.41,-0.902,-18.944,0.0,insulin_ep3__398_dldesign_0_cycle0
6.0,56.689,0.697,-32.87,-2.589,-32.87,-2.589,1152.901,1624.037,545.528,11.0,0.0,-316.6,274.661,-84.78,0.986,34.821,66.008,388.245,0.133,-4.691,-0.462,-1.355,-29.833,1.0,-10.555,87.0,56.0,19.073,-9.826,0.569,-0.819,0.08,5.109,75.815,0.658,-0.576,-20.727,-1.256,-25.123,0.0,insulin_ep3__108_dldesign_0_cycle0_1
4.0,56.533,0.697,-32.903,-2.6,-32.903,-2.6,1152.448,1617.624,538.12,11.0,0.0,-316.65,274.527,-84.874,0.983,34.634,65.92,388.229,0.133,-4.754,-0.468,-1.36,-29.934,3.0,-9.526,67.0,54.0,13.022,-6.559,0.617,-0.87,0.092,-8.021,33.945,0.678,-0.732,-24.151,-1.086,-22.804,0.0,insulin_ep3__299_dldesign_0_cycle0
9.0,51.075,0.694,-32.921,-2.602,-32.921,-2.602,1149.394,1617.385,534.262,11.0,0.0,-316.659,272.056,-85.013,0.983,34.629,65.9,387.887,0.132,-4.779,-0.474,-1.385,-29.949,3.0,-12.798,100.0,55.0,20.408,-9.148,0.599,-0.634,0.185,-7.229,-27.385,0.73,-0.416,-14.571,-1.016,-20.323,0.0,insulin_ep3__509_dldesign_0_cycle0_1
5.0,49.293,0.694,-32.958,-2.603,-32.958,-2.603,1147.863,1616.16,533.334,11.0,0.0,-317.196,271.371,-85.391,0.982,34.598,65.77,387.149,0.132,-4.831,-0.514,-1.401,-29.982,4.0,-11.183,79.0,52.0,21.528,-10.536,0.446,-1.112,0.447,-3.198,12.802,0.678,-1.029,-33.952,-1.256,-23.863,0.0,insulin_ep3__600_dldesign_0_cycle0
9.0,49.152,0.686,-33.027,-2.613,-33.027,-2.613,1143.3,1612.298,533.05,11.0,0.0,-317.711,271.157,-85.676,0.981,34.581,65.478,386.924,0.132,-4.846,-0.538,-1.452,-30.002,2.0,-16.016,90.0,59.0,18.239,-10.641,0.618,-0.976,0.034,2.678,20.519,0.784,-1.034,-39.302,-0.871,-18.297,0.0,insulin_ep3__364_dldesign_0_cycle0
8.0,48.732,0.673,-33.096,-2.616,-33.096,-2.615,1143.081,1612.279,531.121,11.0,0.0,-317.776,271.01,-85.934,0.98,34.522,65.291,386.78,0.131,-4.863,-0.539,-1.457,-30.032,4.0,-6.804,73.0,56.0,15.688,-7.749,0.55,-1.006,0.032,-8.13,21.689,0.635,-1.141,-41.083,-0.761,-15.225,0.0,insulin_ep3__265_dldesign_0_cycle0
9.0,48.598,0.667,-33.101,-2.621,-33.101,-2.616,1141.138,1611.557,529.908,11.0,0.0,-317.86,270.816,-86.17,0.978,34.517,65.151,386.277,0.131,-4.994,-0.542,-1.475,-30.176,1.0,-8.676,81.0,53.0,14.747,-7.783,0.537,-0.576,0.117,-0.651,39.588,0.601,-0.374,-12.331,-0.909,-18.171,0.0,insulin_ep3__701_dldesign_0_cycle0
5.0,47.967,0.664,-33.185,-2.624,-33.185,-2.621,1140.892,1591.672,528.249,11.0,0.0,-317.906,270.184,-86.185,0.975,34.496,65.022,386.032,0.131,-4.995,-0.544,-1.541,-30.199,2.0,-10.847,78.0,54.0,14.444,-9.04,0.615,-0.667,0.0,-5.192,4.583,0.592,-0.456,-15.05,-0.999,-20.973,0.0,insulin_ep3__884_dldesign_0_cycle0
7.0,46.821,0.643,-33.302,-2.63,-33.302,-2.624,1139.304,1591.041,528.15,10.0,0.0,-318.108,268.952,-86.234,0.973,34.489,64.917,385.919,0.13,-4.997,-0.549,-1.576,-30.376,0.0,-11.565,81.0,52.0,17.127,-6.034,0.477,-0.388,0.131,-1.277,24.198,0.473,-0.596,-19.063,-0.055,-1.102,0.0,insulin_ep3__985_dldesign_0_cycle0
10.0,45.908,0.635,-33.364,-2.641,-33.364,-2.63,1136.965,1588.096,527.77,10.0,0.0,-318.304,268.346,-86.424,0.97,34.452,64.7,385.587,0.13,-5.03,-0.56,-1.605,-30.43,0.0,-10.936,75.0,52.0,15.895,-12.302,0.663,0.094,0.0,-6.654,20.256,0.701,0.744,24.539,-1.033,-19.627,0.0,insulin_ep3__751_dldesign_0_cycle0_1
7.0,44.934,0.623,-33.46,-2.641,-33.411,-2.641,1136.897,1586.143,527.243,10.0,0.0,-318.448,267.847,-86.556,0.969,34.295,64.546,385.355,0.129,-5.043,-0.572,-1.608,-30.543,2.0,-10.62,78.0,53.0,13.668,-5.068,0.534,-0.688,0.171,-2.805,36.934,0.633,-0.8,-25.592,-0.517,-10.866,0.0,insulin_ep3__878_dldesign_0_cycle0
10.0,44.561,0.601,-33.541,-2.648,-33.46,-2.641,1135.84,1585.503,526.584,10.0,0.0,-318.626,267.502,-86.592,0.968,34.203,64.444,385.114,0.129,-5.068,-0.583,-1.615,-30.579,2.0,-8.475,68.0,58.0,11.177,-8.408,0.636,-1.286,0.0,-3.801,33.283,0.688,-1.159,-44.053,-1.526,-30.525,0.0,insulin_ep3__979_dldesign_0_cycle0
9.0,44.458,0.593,-33.574,-2.651,-33.541,-2.648,1135.676,1583.652,525.497,10.0,0.0,-318.626,265.808,-86.623,0.967,34.176,64.335,384.824,0.129,-5.07,-0.586,-1.621,-30.601,5.0,-12.69,84.0,56.0,16.286,-7.905,0.604,-0.75,0.0,-7.061,-11.774,0.671,-0.523,-18.811,-1.161,-23.215,0.0,insulin_ep3__538_dldesign_0_cycle0_1
6.0,44.398,0.591,-33.637,-2.651,-33.574,-2.651,1132.218,1580.421,524.891,10.0,0.0,-318.679,265.257,-86.64,0.965,34.153,64.329,384.81,0.128,-5.082,-0.588,-1.625,-30.645,1.0,-10.249,65.0,51.0,12.34,-5.267,0.599,-0.409,0.009,2.13,19.205,0.672,-0.237,-7.335,-0.677,-13.533,0.0,insulin_ep3__621_dldesign_0_cycle0_1
4.0,42.026,0.578,-33.65,-2.657,-33.637,-2.651,1131.003,1576.455,520.935,10.0,0.0,-318.756,265.13,-86.694,0.965,34.103,64.237,383.267,0.127,-5.084,-0.595,-1.689,-30.655,2.0,-11.897,70.0,51.0,11.268,-5.555,0.631,-1.056,0.163,2.094,39.761,0.652,-0.94,-30.086,-1.252,-23.785,0.0,insulin_ep3__515_dldesign_0_cycle0_1
8.0,40.478,0.533,-33.658,-2.66,-33.65,-2.657,1130.976,1575.273,519.698,10.0,0.0,-318.894,264.855,-86.862,0.96,33.934,64.228,383.115,0.126,-5.139,-0.607,-1.7,-30.707,1.0,-15.363,83.0,51.0,16.035,-12.197,0.515,-0.801,0.184,-3.923,-7.186,0.642,-0.774,-23.985,-0.842,-16.848,0.0,insulin_ep3__114_dldesign_0_cycle0_1
13.0,40.29,0.518,-33.739,-2.672,-33.658,-2.66,1130.381,1572.655,517.714,10.0,0.0,-318.911,264.562,-86.887,0.96,33.872,64.135,383.059,0.126,-5.159,-0.646,-1.718,-30.708,6.0,-13.39,86.0,71.0,12.58,-14.594,0.547,-0.703,0.442,0.068,34.378,0.773,-0.025,-1.049,-1.686,-48.886,0.0,insulin_ep2__262_dldesign_0_cycle0_1
14.0,40.13,0.513,-33.751,-2.679,-33.739,-2.672,1130.044,1571.81,517.044,10.0,0.0,-319.21,264.503,-86.986,0.959,33.768,64.017,383.032,0.125,-5.202,-0.654,-1.726,-30.733,2.0,-11.087,72.0,52.0,13.36,-16.061,0.479,-0.789,0.065,0.432,33.418,0.616,-0.013,-0.359,-1.694,-40.666,0.0,insulin_ep2__954_dldesign_0_cycle0_1
